,Tweets,clean_tweet,polarity,subjectivity,,Product,,,
17-03-2020 16:35,b'@ACAConnects member Sparklight Opens WiFi Hotspots to Assist Communities During Coronavirus (COVID-19) Crisis |\xe2\x80\xa6 https://t.co/DD7dCK2z1b',member Sparklight Opens WiFi Hotspots Assist Communities During Coronavirus COVID Crisis https,0,0,,0,,,
17-03-2020 16:34,b'Need Wifi? Sparklight offers free hotspot  https://t.co/KnzlDt4MDy',Need Wifi Sparklight offers free hotspot https KnzlDt,0,0,,0,,,
17-03-2020 15:22,"b""@TrumanState students, if you're in Kirksville there's a new hotspot you can use from your car. https://t.co/giIJuIHPgn""",students Kirksville there hotspot from your https giIJuIHPgn,1,1,,1,,,
17-03-2020 14:38,"b'Sparklight, Mediacom, TDS and others are making sure broadband is accessible for low-income folks and students https://t.co/r3LA08Ck6Z'",Sparklight Mediacom others making sure broadband accessible income folks students https,0,0,,0,,,
17-03-2020 14:15,b'@sparklightcares How about joining 2020 and GET RID OF DATA CAPS like @Suddenlink and so many other ISPs? \xf0\x9f\x99\x84 we have\xe2\x80\xa6 https://t.co/iwUXWFFntt',about joining DATA CAPS like many other ISPs have https iwUXWFFntt,0.2,0.2,,0.04,,,
17-03-2020 13:22,"b'RT @TedatACA: @texascable Assoc. (of which @ACAConnects member Sparklight, formerly @CableONE, is a member): Cable Prepared To Help Keep Te\xe2\x80\xa6'",Assoc which member Sparklight formerly member Cable Prepared Help Keep,0,0,,0,,,
17-03-2020 13:07,"b'@texascable Assoc. (of which @ACAConnects member Sparklight, formerly @CableONE, is a member): Cable Prepared To He\xe2\x80\xa6 https://t.co/VBM3ArE9sz'",Assoc which member Sparklight formerly member Cable Prepared https,0,0,,0,,,
17-03-2020 12:45,"b'Cable One/Sparklight lifts data caps for 30 days, waives late fees for 60 days https://t.co/OviQDrNOUN'",Cable Sparklight lifts data caps days waives late fees days https OviQDrNOUN,0.4,0.4,,0.16,,,
17-03-2020 05:52,b'RT @WLOX: Sparklight opens WiFi hotspots during COVID-19 crisis https://t.co/NG12Uyg3sk',Sparklight opens WiFi hotspots during COVID crisis https,0,0,,0,,,
17-03-2020 05:27,"b'RT @thebauminator: More US cable op response -- Cable One/Sparklight announced Friday it has suspended data caps for 30 days, waived late f\xe2\x80\xa6'",More cable response Cable Sparklight announced Friday suspended data caps days waived late,0,0,,0,,,
